0000007040;002543;MANI TOSTADO LIBREADO;1.00;1.00
0000006008;001500;QUESO KIOSKO MOZZARELLA 350GR;2.00;1.00
0000005719;001211;ESENCIA DE PIÑA 100ML;2.00;12.00
0000007595;003101;COLIFLOR VEG;0.00;1.00
0000007600;003106;GELAT. GEL HADA LIMON 200G;0.00;48.00
0000007625;003131;GUANTE MULTRIPOP MED AMARILLO;0.00;24.00
0000007626;003132;COLORINA LEVAPAN CAJITAX410CC;0.00;24.00
0000007648;003154;AMERICAN TOFFE FRUTOS SECOS;0.00;35.00
0000007702;003208;FRUTA MARACUYA;0.00;1.00
0000007726;003232;VINAGRE BLANCO ILE PET 195ML;0.00;24.00
0000008838;004489;SAZONATODO MI SUPER 500GR;0.00;24.00
0000008840;004493;GRACEAS COLORES LEVAPAN 250GR;0.00;24.00
0000007805;003311;ARROZ LORO  1KG;0.00;45.00
0000008096;003603;CEPILLO BAÑO PEQUEÑO;0.00;1.00
0000012513;008175;CUATES MIX ORIGINAL 45GR;0.00;1.00
0000012518;008180;PAÑITOS HUMEDOS FRESKITITOS 36X40;0.00;36.00
0000012520;008182;PAÑAL PAÑALIN ULTRASECO MED X50";0.00;1.00
0000013165;008839;JUG 2PCS VEHICULOS CAMION Y EXCABDORA DINOSAURIO;0.00;1.00
0000013252;008926;SET DE MANICURE 7PIEZAS;0.00;1.00
0000013241;008915;JUG. CARRO CONTROL REMOTO BATMAN;0.00;1.00
0000005324;000793;YOG. TONI FRUTILLA BEBIBLE 950ML;0.00;12.00
0000004561;000053;SH. SEDAL 2 EN 1 CERAMIDAS 18ML 84161536_2;0.00;240.00
0000006103;001595;GALL. FESTIVAL SABOR A FRESA 50GR;0.00;288.00
0000005931;001423;YOG TONI MIX CHIQUI FRUBO 97GR;0.00;24.00
0000006383;001887;CHOC. FERRERO ROCHER 8"S X 100GR;0.00;12.00
0000005263;000734;AZUCAR MORENA VALDEZ 1KG;0.00;50.00
0000005911;001403;COMPOTA SAN JORGE SAB/PERA 113GR;0.00;24.00
0000005635;001128;FID. CAYAMBE/LAZO CHICO 200GR;-1.00;40.00
0000006303;001807;AGUA DASANI 6LT 2836;0.00;4.00
0000013154;008827;DINA 1/2 BLANCA MULTIUSOS REFORZADAS LA MAXIMA;0.00;140.00
0000011611;007257;NESQUIK SABOR A FRESA FDA 180G;0.00;18.00
0000011629;007275;JAB. J&J BABY AVENA 110GR;0.00;48.00
0000012816;008479;DET. ULTREX BICARBONATO 500GR;0.00;40.00
0000012861;008524;TIPS LAVAVAJ. ANTIBACT NEUTRO DOYPACK 1000 ML X12;0.00;12.00
0000011752;007408;PACA GATORADE SURTIDO  473ML;0.00;1.00
0000011671;007327;SH. RENCEL BAMBU& KERATINA1000ML;0.00;12.00
0000011689;007345;LEVADURA SAF 10GR INSTANTANEA ROJA;0.00;1.00
0000012869;008532;TIPS MULT COCINA TRIG 500ML;0.00;12.00
0000012874;008537;MENTITAS AMBROSOLI 21GR;0.00;24.00
0000013277;008951;GRISSLY GOMAS CLASICA 80GR;0.00;36.00
0000013197;008871;JUG. CARROS PARA CONSTRUCCION X3;0.00;1.00
0000013206;008880;JUGUETE DE MUÑECA VESTIDO DE LENTEJUELAS;0.00;1.00
0000011775;007431;CEPILLO COLGATE MINIONS X2;0.00;12.00
0000011788;007444;PROMO LECHE NUTRI ENTERA 400ML PAGUE 2 LLEVE 3;0.00;1.00
0000011530;007179;PULP AVENA NARANJILLA CANELA 330ML;0.00;12.00
0000012695;008358;LECHE SEMIDESCREMADA TRU 1LT;0.00;12.00
0000012731;008393;FIDEO TALLARIN CHINO ORIENTAL 400GR;0.00;24.00
0000011563;007210;PROMO[XIONLIMON 450+ESPONJMULTSOL+ESTROPASOL];0.00;1.00
0000012662;008327;PROMO [GALL CIRCUS VAINILLA + PULPIN 145ML];0.00;1.00
0000012672;008335;PH INSTITUCIONAL BABY SAN 200MTRS;29.00;12.00
0000011483;007133;ROLLITO FILM ALIMENTOS X15M GOLDERY;0.00;24.00
0000011499;007149;SH .SAVITAL MULTIOLEOS SABILA 25ML;0.00;432.00
0000012260;007921;CHUP. PIN PON BUMBA GIGANTE MORA AZUL 504GR;0.00;16.00
0000012276;007937;BANASOYA VAINILLA 400GR;0.00;1.00
0000012318;007979;GRANOLA CON PASAS GUSTAMAS 200GR;0.00;50.00
0000012722;008385;DESO  SECRET ANTITRAN ROLL ON POWDER 60GRX12;0.00;12.00
0000012724;008386;PAÑAL  PEQ EXTRAPROTEC X3;0.00;8.00
0000011411;007060;DOVE SH OLEO 400ML+ SUPER ACOND 170ML;0.00;6.00
0000012847;008510;TIPS DESF. FRUTILLA 3.78 LTS X4UN;0.00;4.00
0000013090;008762;TARJETA INVITACION SONIC;0.00;1.00
0000008166;003674;CARAMELERO REDONDO;0.00;1.00
0000007091;002594;ATUN VANCAMPS 354GR;0.00;24.00
0000007251;002750;PLATO #9 COMPART ALEGRIA 25 UNDS;0.00;20.00
0000005076;000208;HARINA SUPER 4;0.00;110.00
0000005128;000913;MOLDE BLANCO MEDIANO ACTILEC 580GR BIMBO;0.00;1.00
0000004984;000382;ACEITE PALMA DE ORO FRASCO 500ML;0.00;24.00
0000005062;000421;TALLARIN DOÑA PETRONA 400GR;0.00;50.00
0000007227;002726;JAB. DEJA MULTIUSOS LIMON 350GR;0.00;30.00
0000004794;000195;SH FAMILY KERATINA 970ML;0.00;12.00
0000004989;000383;MANTECA 3 CHANCHITOS TAZONA 900G;0.00;18.00
0000007180;002679;CAR. KAUMAL ALIVIO REFRESCANTE 320GR;0.00;36.00
0000004731;000112;BIG COLA 1100 ML  219;0.00;12.00
0000004747;000244;GALL. OREO ORIGINAL VAINILLA 36GR;0.00;144.00
0000005015;000584;SARDINAS REAL TALL 425G;0.00;48.00
0000004615;000457;HIERBA LUISA AROMATICAS SALUDABLES DISPLAY;9.00;24.00
0000005030;000355;JABON EL MACHO LIMON 220G;48.00;50.00
0000005035;000597;SH. SAVITAL KERATINA Y SABILA 550ML;0.00;12.00
0000011826;007481;ROLLO LLANO 10X16 TENAZ ROLL / PARAISO;0.00;18.00
0000011835;007489;LAVA CREMA 2PACK 450GR;0.00;1.00
0000014116;009794;YOG TONI BEBIBLE FRUTILLA 110GR;7.00;24.00
0000014127;009805;VELA PESADA MAS LUZ Y VIDA  Nª4;0.00;50.00
0000014110;009788;TINTE COLORET TINT 55-46 RJ;0.00;1.00
0000011795;007451;HAMBURGUESA MEGA MEGA PARRILLERA 570GR;0.00;1.00
0000011936;007593;AROMATEL FRUTOS ROJOS  340/370ML;0.00;30.00
0000011881;007534;BODY SPRAY  ML SEXY AMBER;0.00;1.00
0000011891;007544;ESTUCHES X 2 BODY CREAM+B. SPRAY  STRAWBER;0.00;1.00
0000011960;007616;SH. L-MAR MANZANA;0.00;1.00
0000011902;007548;COMBO[SUAV FLOR PRIM 310ML + DET SAP FLORAL 440G];0.00;1.00
0000011907;007566;ARROZ  BEL&BRY 20LB;12.00;5.00
0000011909;007567;VASO OPAL BLANCO HG 10 ONZ 50"S;0.00;100.00
0000011915;007573;MERMELADA GUAYABA FRASCO EKOFRUTS 295GR;0.00;1.00
0000006153;001645;DES. HIT FLORAL 270ML;0.00;48.00
0000007547;003053;NUGGETS DE PESCADO 152G;0.00;1.00
0000006393;001897;JUG/POLVO LIMONADAYA 15GR;0.00;288.00
0000006398;001902;JUG/POLVO PIÑAYA 15GR;0.00;288.00
0000006580;002084;AJO EN PEPA LIBREADO;11.38;1.00
0000005463;001020;CHAMPIÑONES ENTEROS FACUNDO 400GR;0.00;24.00
0000007085;002588;MOTE ENLATADO FACUNDO 425GR;6.00;24.00
0000007156;002655;AJO EN POLVO ILE 50GR;0.00;12.00
0000007299;002798;ALCOHOL ALCOGF PLUS 250ML SPRAY;0.00;24.00
0000006090;001582;SALSA BBQ ORIGINAL GUSTADINA 200GR [24X200GR];0.00;24.00
0000006209;001700;DET POLVO HIT LIMON 600GR;0.00;20.00
0000005694;001186;HABA PELADA;0.00;100.00
0000006248;001741;BOMB. FERRERO NOGGY 150GR;0.00;24.00
0000006009;001501;SALSA DE TOMATE LOS ANDES 195GR;0.00;48.00
0000005499;001056;MERM. FAC. SABOR FRUTIMORA 300GR;0.00;12.00
0000007617;003123;GELAT. GEL HADA LIMON 400G;0.00;24.00
0000011065;006720;FRESCO SOLO NARANJA 120GR SIN AZUCAR;0.00;288.00
0000012483;008145;PH JUMBO INST PRODUVENTAS 200MT;0.00;12.00
0000013244;008918;JUG. COCHE DE BAILE EN AEROSOL CON LUZ;0.00;1.00
0000013260;008934;JUG. MUÑECA FASHION GIRL 11.5 PULGADAS;0.00;1.00
0000004855;000470;BUEN CAN ADULTO POLLO MED/GRD 450G;0.00;24.00
0000006051;001543;BEBIBLE KIOSKO PIÑA COCO 900GR FDA;0.00;12.00
0000006104;001596;GALL. FESTIVAL SABOR/VAINILLA 50GR;0.00;288.00
0000005292;000763;QUESO SANDUCHE KISKO 5 REB 60G;0.00;1.00
0000005867;001359;PINGUINO CASERO PALETA MORA 90ML;0.00;28.00
0000005535;001092;GUITIG 500ML;0.00;12.00
0000006082;001574;PIPAS MEGA PICA LIMON 19GR;0.00;10.00
0000005573;000409;ESPONJILLA ZENTELLA DORADA;0.00;50.00
0000005457;001012;LECHE TONI CHOCOLATE 200CC;4.00;24.00
0000006001;001493;FUZE TEA 550ML;2.00;12.00
0000005334;000803;AREQUIPE ALPINA 50GR;40.00;1.00
0000011511;007161;GALL. CRAKEÑA DORADITA TACO 364GR;0.00;24.00
0000012575;008238;QUESOS SAN LUIS;0.00;1.00
0000012699;008362;QUESO BERRONNI;0.00;1.00
0000011543;007192;PROMO[PAFRITAS 28GR+COLA MANZANA 355ML];0.00;1.00
0000011558;007205;PROMO[2AZUCAR  VALDEZ 2K + GRAT NESCAFE];0.00;1.00
0000011565;007213;MORT BOLOGNA ALEMANA PIGGIS 180GR;0.00;1.00
0000012685;008348;LAVAVAJILLA  CREMA TUTIFRUTI WIN PLUS  250GR;0.00;24.00
0000012686;008349;MI VASO PLASTICO  Nª7  BLANC/TRANSP X 50"S;0.00;120.00
0000011346;006995;FADIG FIBRA DIETETICA 500GR;0.00;1.00
0000011494;007144;CHUP. POP MAXXI MANIA 672GR;0.00;24.00
0000011436;007085;SAL ROSA DEL HIMALAYA 100GR;0.00;8.00
0000011442;007091;HAR. VIDASOYA ORIENTAL 200GR FRESA;0.00;48.00
0000011351;007000;PARLANTE ROCKER ES-HERO 15P LED 85.00;0.00;1.00
0000012253;007914;GRANOLA CON PASAS GUSTAMAS 250GR;0.00;1.00
0000012275;007936;BANASOYA FRESA 400GR;0.00;1.00
0000012322;007983;CARAMELO MIX SURTIFRUTAS RELLENO 1/2K;0.00;1.00
0000013092;008764;TEMPERA APRENDO 120CC AZUL;0.00;1.00
0000013158;008832;ACEITE GIRASOLI 1L;0.00;15.00
0000013184;008858;JUG MUÑECA QUINCEAÑERA;0.00;1.00
0000011491;007141;CANGUIL MICROONDAS EXTRA MANTEQUILLA KIKOS 99GR;0.00;15.00
0000011610;007256;NESQUIK SABOR A VAINILLA FDA 180G;0.00;18.00
0000011621;007267;YOGURT ALMENDRAS DIMCOFRUT  100GR;0.00;1.00
0000013356;009033;CARAM. MELO DURO SURT 1KL CONFITECA;0.00;1.00
0000014165;009844;CUCHARAS PEQUEÑAS /COLORES X 100"S;0.00;220.00
0000011972;007628;PROMO ACEITE CRIOLLO 850ML;0.00;1.00
0000011963;007619;POLVO DE HORNEAR FCO 60G CONDIMENSA;0.00;1.00
0000006996;002499;JAB. ALES FRUTOS ROJOS 260GR;0.00;48.00
0000007344;002843;SH H&S ANTIFALLO PROTECCION CAIDA 15ML;12.00;300.00
0000004919;000224;SARDINA OVALADA A/F 425G;-24.00;48.00
0000005054;000492;DET. CICLON LIMON  XP 350GR;0.00;30.00
0000004860;000467;MAIZABROSA 500GR;25.00;40.00
0000004871;000623;CUCHARAS SOPERA OXP PLASTICOS / GRANDES;0.00;100.00
0000004613;000455;CHIMICHURRI ILE BOTELLA 320G;6.00;48.00
0000007565;003071;POS FRUTOS BOSQUE Y AGUA COCO 120GR;0.00;72.00
0000005479;001036;DEJA BARRA ESTRELLA LIMON 30X250GR;0.00;30.00
0000006863;002367;PASTA ACHIOTE ILE (REFRITO) #12 240GR;0.00;24.00
0000006956;002459;CLOROX REGULAR TRIPLE ACCION 120ML;0.00;120.00
0000006916;002419;FID. SOPITA CRIOLLA ORIENTAL 70GR;0.00;30.00
0000005660;001152;HALLS MENTHO-LYPTUS 300GR;0.00;12.00
0000006801;002305;FID. CAYAMBE LAZO N°3 400GR;0.00;20.00
0000005962;001454;DOVE AER AP RENOVADOR 110ML;0.00;12.00
0000007651;003157;CAFE NESCAFE TRADICIONAL 50GR+20%;0.00;40.00
0000007654;003160;AMERICAN TOFFE LICOR 275GR;0.00;35.00
0000007787;003293;TORTOLINES DE QUESO 45GR;0.00;1.00
0000011073;006729;DET FAB LIMON  3X PODER 440GR 80GR GRATIS;0.00;20.00
0000008106;003613;MORTADELA LA ESPAÑOLA 1.8;0.00;1.00
0000012492;008155;MOSTAZA ALACENA 200GR;0.00;12.00
0000012522;008184;PAÑAL NAPPIS MEDIANO  X52";0.00;1.00
